
ALFALFA SPROUTS ORGANIC-UNSPECIFIED,0.22450006/Gr
BLUEBERRIES UNSPECIFIED,31.75/Pt
BROCCOLI ASIAN CROWN,2.53125/lbs
BROCCOLI BCHD,25.625
BROCCOLI BROCCOLINI,3.8522663/lbs
BROCCOLI CROWN,1.2272727/lbs
BROCCOLI GREEN,27.0
BROCCOLI ORGANIC-UNSPECIFIED,61.0
BROCCOLI UNSPECIFIED,18.3
BROCOFLOWER GREEN,50.59
BRUSSELS SPROUTS ORGANIC-UNSPECIFIED,53.0/lbs
BRUSSELS SPROUTS UNSPECIFIED,2.4359741/lbs
CABBAGE GREEN,0.475/lbs
CABBAGE ORGANIC-GREEN,1.2174988/lbs
CABBAGE ORGANIC-RED,1.2237529/lbs
CABBAGE RED,0.585/lbs
CABBAGE SAVOY,0.87563163/lbs
CABBAGE SOUR,1.434495/lbs
CABBAGE UNSPECIFIED,1.6020998/lbs
CARAMBOLA STARFRUIT,4.6875/kg
CARROTS BCHD,25.5
CARROTS BCHD-BABY RED,55.34999
CARROTS BCHD-BABY YELLOW,25.394997/lbs
CARROTS JUMBO,0.6425/lbs
CARROTS MINI,7.008001/lbs
CARROTS NANTAISE,25.55/lbs
CARROTS ORGANIC-RAINBOW,59.75
CARROTS ORGANIC-UNSPECIFIED,36.449535/lbs
CARROTS RAINBOW,2.405/lbs
CARROTS SNAPTOP,0.62699693/lbs
CARROTS UNSPECIFIED,5.275/lbs
CAULIFLOWER GREEN,32.550003
CAULIFLOWER ORANGE,36.0
CAULIFLOWER ORGANIC-UNSPECIFIED,41.0
CAULIFLOWER PURPLE,32.55
CAULIFLOWER WHITE,31.25
CELERY HEARTS,36.5
CELERY ORGANIC-HEARTS,1.5833334
CELERY ORGANIC-UNSPECIFIED,59.75
CELERY ROOT,1.6/lbs
CELERY UNSPECIFIED,1.8125
CHAYOTE UNSPECIFIED,1.040625/lbs
CHERRIES BING,5.4140625/lbs
CHERRIES LAPIN,2.25/lbs
CHERRIES ORGANIC-UNSPECIFIED,9.09375/kg
CHERRIES RAINIER,2.1666667/lbs
CHERRIES SWEET,6.412501/lbs
CHERRIES UNSPECIFIED,66.5998
CHERRIES VAN,9.14/lbs
CHERRIES YELLOW,11.181818/lbs
CHINESE VEGETABLES BABY BOK CHOY,1.275/lbs
CHINESE VEGETABLES BABY SIU CHOY (NAPA),2.55/lbs
CHINESE VEGETABLES BOK CHOY,0.595/lbs
CHINESE VEGETABLES CHOY SUM,0.95/lbs
CHINESE VEGETABLES EGGPLANT,1.0574933/lbs
CHINESE VEGETABLES FU QUA,1.1958333/lbs
CHINESE VEGETABLES GAI LON,1.6583333/lbs
CHINESE VEGETABLES GOBO,1.8/kg
CHINESE VEGETABLES LO BOK,2.9/kg
CHINESE VEGETABLES LONG BEANS,2.7166667/lbs
CHINESE VEGETABLES LOTUS ROOT,2.35/kg
CHINESE VEGETABLES MOO,0.7625/lbs
CHINESE VEGETABLES OKRA,1.6571429/lbs
CHINESE VEGETABLES ON CHOY,22.25
CHINESE VEGETABLES OPO,0.8/lbs
CHINESE VEGETABLES SIU CHOY(NAPA),0.53/lbs
CHINESE VEGETABLES TAIWANESE CABBAGE,0.75625/lbs
CHINESE VEGETABLES YU CHOY,1.4708333/lbs
COCONUTS UNSPECIFIED,45.75
COCONUTS YOUNG,18.150017
COLLARD ORGANIC-UNSPECIFIED,30.600004
COLLARD UNSPECIFIED,21.974983
CORN BI-COLOUR,20.375
CORN ORGANIC-BI COLOUR,50.6
CORN ORGANIC-YELLOW,48.6
CORN UNSPECIFIED,11.6875
CORN WHITE,7.5
CORN YELLOW,19.0
CRANBERRIES ORGANIC-UNSPECIFIED,0.16123362/Gr
CRANBERRIES UNSPECIFIED,4.8958335/Oz
CUCUMBERS FIELD,0.8389911/lbs
CUCUMBERS FIELD-DILL,1.8774998/lbs
CUCUMBERS FIELD-ORGANIC,1.3152174/lbs
CUCUMBERS FIELD-SUPER SELECT,27.0
CUCUMBERS G.H.,26.850004
CUCUMBERS G.H.-LONG ENGLISH,14.375
CUCUMBERS G.H.-LONG ENGLISH ORGANIC,30.5
CUCUMBERS G.H.-MINI,1.275/lbs
CUCUMBERS G.H.-ORGANIC-MINI,35.520004
CURRANTS GOOSEBERRY BLACK,4.6666665/Oz
CURRANTS GOOSEBERRY RED,4.6666665/Oz
DAIKON ORGANIC-UNSPECIFIED,1.784/lbs
DAIKON UNSPECIFIED,0.65625/lbs
DANDELION ORGANIC-UNSPECIFIED,19.0
DANDELION UNSPECIFIED,20.0
DASHEEN UNSPECIFIED,0.455/lbs
DATES JUJUBE,1.25/lbs
DATES MEDJOOL,6.0227275/lbs
DATES UNSPECIFIED,3.175/kg
EGGPLANT FIELD-INDIAN,1.4166666/lbs
EGGPLANT FIELD-ORGANIC-UNSPECIFIED,1.5454545/lbs
EGGPLANT FIELD-THAI,1.5714285/lbs
EGGPLANT G.H.-GRAFFITI,1.4659091/lbs
EGGPLANT G.H.-MINI,19.25
EGGPLANT G.H.-ORGANIC-UNSPECIFIED,1.5454545/lbs
EGGPLANT G.H.-WHITE,3.0/lbs
EGGPLANT UNSPECIFIED,39.75
ENDIVE BELGIAN,4.4/kg
ENDIVE CURLY,31.5
ENDIVE RED,6.620012/lbs
ENDIVE UNSPECIFIED,20.25
ESCAROLE UNSPECIFIED,31.5
FEIJOA UNSPECIFIED,10.5/kg
FIDDLEHEADS UNSPECIFIED,9.9/lbs
FIGS BLACK MISSION,57.75/lbs
FIGS BROWN TURKEY,43.75/lbs
FIGS KADOTA,9.949998
FIGS ORGANIC-GREEN,11.0
FIGS UNSPECIFIED,4.7/Oz
GARLIC ELEPHANT,2.7666667/lbs
GARLIC ORGANIC-UNSPECIFIED,3.414179/lbs
GARLIC PURPLE,3.6666667/lbs
GARLIC UNSPECIFIED,2.3099747/kg
GARLIC WHITE,1.9722728/lbs
GINGER ROOT ORGANIC-UNSPECIFIED,3.4791667/lbs
GINGER ROOT UNSPECIFIED,1.1589881/lbs
GRANADILLA UNSPECIFIED,35.599827
GRAPEFRUIT FLAME,39.08
GRAPEFRUIT ORGANIC-RUBY,1.4875/lbs
GRAPEFRUIT ORGANIC-UNSPECIFIED,1.2212454/lbs
GRAPEFRUIT PINK-UNSPECIFIED,39.0
GRAPEFRUIT RED-UNSPECIFIED,36.375
GRAPEFRUIT RUBY-RIO STAR,5.895008/lbs
GRAPEFRUIT RUBY-SUNKIST,31.5
GRAPEFRUIT RUBY-UNSPECIFIED,28.0
GRAPEFRUIT STAR RUBY,0.8964286/lbs
GRAPEFRUIT UNSPECIFIED,0.8772494/lbs
GRAPES (TABLE) AUTUMN KING,1.7157896/lbs
GRAPES (TABLE) AUTUMN ROYAL,2.6388888/lbs
GRAPES (TABLE) BICOLOUR,2.7083333/lbs
GRAPES (TABLE) BLACK,2.1973684/lbs
GRAPES (TABLE) BLACK FANTASY,1.0526316/lbs
GRAPES (TABLE) BLACK SEEDLESS,2.1527777/lbs
GRAPES (TABLE) BLUE CONCORD,12.0/Lt
GRAPES (TABLE) BLUE CORONATION,12.0/Lt
GRAPES (TABLE) CHAMPAGNE,57.5/lbs
GRAPES (TABLE) CRIMSON,1.6052631/lbs
GRAPES (TABLE) FLAME SEEDLESS,1.5394737/lbs
GRAPES (TABLE) GREEN,2.2105262/lbs
GRAPES (TABLE) GREEN SEEDLESS,2.2638888/lbs
GRAPES (TABLE) ORGANIC-GREEN,5.050001/lbs
GRAPES (TABLE) ORGANIC-GREEN SEEDLESS,2.778942/lbs
GRAPES (TABLE) ORGANIC-RED,5.11389/lbs
GRAPES (TABLE) ORGANIC-RED SEEDLESS,7.9375/kg
GRAPES (TABLE) PERLETTE,4.0319448/lbs
GRAPES (TABLE) PINK MUSCAT,3.3421872/lbs
GRAPES (TABLE) PRINCESS,1.8526318/lbs
GRAPES (TABLE) RED,2.3166666/lbs
GRAPES (TABLE) RED GLOBE,2.1388888/lbs
GRAPES (TABLE) RED SEEDLESS,2.7222223/lbs
GRAPES (TABLE) RUBY SEEDLESS,2.0416667/lbs
GRAPES (TABLE) SUGRAONE,2.1944444/lbs
GRAPES (TABLE) SUMMER ROYAL,1.1111112/lbs
GRAPES (TABLE) SWEET SCARLET,2.1157887/lbs
GRAPES (TABLE) THOMPSON SEEDLESS,1.6907895/lbs
GUAVA RED,3.675/lbs
GUAVA UNSPECIFIED,0.062225476/Gr
HERBS (CULINARY) FIELD-ANISE,25.75
HERBS (CULINARY) FIELD-ARRUGULA,27.0
HERBS (CULINARY) FIELD-BASIL,22.75
HERBS (CULINARY) FIELD-CHIVES,1.6437519/Oz
HERBS (CULINARY) FIELD-CILANTRO,25.0
HERBS (CULINARY) FIELD-CURLY PARSLEY,13.75
HERBS (CULINARY) FIELD-DILL,1.5187433/Oz
HERBS (CULINARY) FIELD-HORSERADISH ROOT,6.9/lbs
HERBS (CULINARY) FIELD-ITALIAN PARSLEY,20.875
HERBS (CULINARY) FIELD-MINT,21.75
HERBS (CULINARY) FIELD-OREGANO,11.0
HERBS (CULINARY) FIELD-PARSLEY UNSPECIFIED,14.75
HERBS (CULINARY) FIELD-SAGE,1.7675014/Oz
HERBS (CULINARY) FIELD-TARRAGON,1.8062506/Oz
HERBS (CULINARY) FIELD-THYME,21.38494/lbs
HERBS (CULINARY) G.H. CUT-ROSEMARY,21.5
HERBS (CULINARY) ORGANIC-CILANTRO,31.150133
HERBS (CULINARY) ORGANIC-DILL,32.25
HERBS (CULINARY) ORGANIC-ITALIAN PARSLEY,33.875
HERBS (CULINARY) ORGANIC-PARSLEY UNSPECIFIED,34.5
JACKFRUIT UNSPECIFIED,1.9442862/lbs
JICAMA ROOT UNSPECIFIED,3.4360983/kg
KALE BLACK,18.75
KALE FLOWER,39.03002
KALE GREEN,20.25
KALE ORGANIC-BLACK,29.25
KALE ORGANIC-GREEN,35.25
KALE ORGANIC-RED,38.125
KALE ORGANIC-UNSPECIFIED,37.125
KALE RED,18.75
KALE UNSPECIFIED,42.0
KIWI FRUIT GOLDEN,36.150097/lbs
KIWI FRUIT ORGANIC-UNSPECIFIED,54.30036/lbs
KIWI FRUIT UNSPECIFIED,41.375
KOHLRABI GREEN,1.05/lbs
KOHLRABI UNSPECIFIED,1.06875/lbs
KUMQUAT UNSPECIFIED,4.65/kg
LEEKS FIELD,11.116794
LEEKS ORGANIC-UNSPECIFIED,36.125
LEMONS CHOICE,63.75
LEMONS FANCY,1.9481217/lbs
LEMONS MEYER,68.6004/lbs
LEMONS ORGANIC-UNSPECIFIED,60.5/lbs
LEMONS SUNKIST,59.25
LEMONS UNSPECIFIED,60.5
LETTUCE FIELD-BUTTERHEAD,26.150013
LETTUCE FIELD-HEAD/ICEBERG,44.5
LETTUCE FIELD-LEAF GREEN,22.0
LETTUCE FIELD-LEAF RED,18.0
LETTUCE FIELD-RADDICCHIO,1.6/lbs
LETTUCE FIELD-ROMAINE,4.7250037
LETTUCE FIELD-ROMAINE GREEN,26.0
LETTUCE FIELD-ROMAINE HEARTS,8.583333
LETTUCE G.H.-BUTTERHEAD,26.824978
LETTUCE G.H.-RADDICCHIO,4.8/kg
LETTUCE ORGANIC-GREEN LEAF,40.25
LETTUCE ORGANIC-HEAD/ICEBERG,44.75
LETTUCE ORGANIC-RED LEAF,40.25
LETTUCE ORGANIC-ROMAINE,40.25
LETTUCE ORGANIC-ROMAINE HEARTS,10.333333
LIMES KEY,25.075132/lbs
LIMES ORGANIC-UNSPECIFIED,40.25/lbs
LIMES UNSPECIFIED,1.078125/lbs
LONGAN UNSPECIFIED,2.375/kg
LYCHEE UNSPECIFIED,3.525/kg
MANDARINES CLEMENTINE,8.916667/lbs
MANDARINES FORTUNA,2.9599986/kg
MANDARINES HONEY,3.0083332/kg
MANDARINES KINNOW,1.5/kg
MANDARINES LOKANS,0.95/kg
MANDARINES MURCOTT,25.8125/lbs
MANDARINES NOVA,3.1645002/kg
MANDARINES ORGANIC-SATSUMA,32.675/lbs
MANDARINES ORGANIC-UNSPECIFIED,33.25/lbs
MANDARINES SATSUMA,1.5361143/kg
MANDARINES STEM AND LEAF,2.2659101/lbs
MANDARINES UNSPECIFIED,1.1809816/kg
MANGOES ATAULFO,13.450086
MANGOES HADEN,2.5/kg
MANGOES KEITT,11.7000065
MANGOES KENT,15.1499815
MANGOES ORGANIC-UNSPECIFIED,2.1375/lbs
MANGOES PALMER,4.0/kg
MANGOES R2E2,11.428572/kg
MANGOES TOMMY ATKINS,3.03125/kg
MANGOES UNSPECIFIED,1.9990156/lbs
MANGOSTEEN UNSPECIFIED,11.777778/kg
MELONS CANARY,34.149956
MELONS CANTALOUPES,26.25
MELONS GALIA,11.55
MELONS HAMI,28.25
MELONS HONEYDEW,0.525/lbs
MELONS ORGANIC-CANTALOUPE,24.75
MELONS ORGANIC-HONEYDEW,0.3/lbs
MELONS ORGANIC-WATERMELON,36.25
MELONS SANTA CLAUS,24.989996
MELONS UNSPECIFIED,17.875
MELONS WATERMELON-MINI,24.75
MELONS WATERMELON-SEEDLESS,27.25
MELONS WATERMELON-UNSPECIFIED,45.25
MUSHROOMS BROWN,2.6700122/lbs
MUSHROOMS BUTTON,3.1275/lbs
MUSHROOMS CREMINI,2.15/lbs
MUSHROOMS ENOKI,0.1025/Gr
MUSHROOMS KING OYSTER,0.10224958/Gr
MUSHROOMS ORGANIC-CREMINI,2.825/lbs
MUSHROOMS ORGANIC-OYSTER,6.55/lbs
MUSHROOMS ORGANIC-PORTOBELLO,4.0/lbs
MUSHROOMS ORGANIC-SHIITAKE,7.25/lbs
MUSHROOMS ORGANIC-WHITE,2.6/lbs
MUSHROOMS OYSTER,4.65/lbs
MUSHROOMS PORTOBELLO,4.4/lbs
MUSHROOMS SHIITAKE,5.55/lbs
MUSHROOMS UNSPECIFIED,2.2199998/lbs
MUSHROOMS WHITE,2.3199866/lbs
MUSTARD GREEN,49.600002
NECTARINES ORGANIC-UNSPECIFIED,7.35/kg
NECTARINES UNSPECIFIED,15.5/Lt
NECTARINES WHITE FLESH,1.43/lbs
NUTS ALMONDS,2.665/lbs
NUTS CHESTNUTS,2.76/kg
NUTS PEANUTS,46.5/lbs
NUTS PECAN,4.78/lbs
NUTS PISTACHIO,62.75/lbs
NUTS WALNUTS,3.7/lbs
OKRA UNSPECIFIED,3.5/lbs
ONIONS BOILER,11.233334/lbs
ONIONS FIELD-GREEN,20.125
ONIONS ORGANIC-GREEN,42.5
ONIONS ORGANIC-RED,11.875/lbs
ONIONS ORGANIC-YELLOW,17.86661/lbs
ONIONS PEARL GOLD,3.7849987/Oz
ONIONS PEARL RED,0.0890493/Gr
ONIONS PEARL WHITE,3.3350034/Oz
ONIONS RED,1.11/lbs
ONIONS RED ITALIAN SWEET,1.073124/lbs
ONIONS RED PICKLING,1.5106/lbs
ONIONS SHALLOTS,4.0449724/lbs
ONIONS SPANISH,0.84/lbs
ONIONS SWEET,0.578125/lbs
ONIONS UNSPECIFIED,15.0/lbs
ONIONS VIDALIA,0.9012507/lbs
ONIONS WHITE,0.5125/lbs
ONIONS YELLOW,6.9583335/lbs
ORANGES BLOOD,38.799927
ORANGES CARA CARA,39.524998
ORANGES HAMELIN,34.75
ORANGES LATE LANE,1.9375/kg
ORANGES MIDNIGHT,1.7333333/kg
ORANGES NAVEL-BLUE JAY,38.724834
ORANGES NAVEL-CHOICE,27.625
ORANGES NAVEL-SUNKIST,37.75
ORANGES NAVEL-UNSPECIFIED,38.97559
ORANGES NAVEL-VICTOR,36.75
ORANGES ORGANIC-NAVEL,16.333334/lbs
ORANGES ORGANIC-VALENCIA,14.725041/lbs
ORANGES SEVILLE,2.0892856/kg
ORANGES UNSPECIFIED,6.487497/lbs
ORANGES VALENCIA-CHOICE,1.495628/lbs
ORANGES VALENCIA-SUNKIST,39.75
ORANGES VALENCIA-UNSPECIFIED,0.93125/lbs
PAPAYA COOKING,0.8642857/lbs
PAPAYA FORMOSA,39.0
PAPAYA GOLDEN,2.875/lbs
PAPAYA MARADOL,3.3418188/lbs
PAPAYA STRAWBERRY,2.25/lbs
PAPAYA TAINUNG,0.9785714/lbs
PAPAYA UNSPECIFIED,40.400085
PARSNIPS BULK,1.4125/lbs
PARSNIPS UNSPECIFIED,49.949596/lbs
PASSION FRUIT GOLDEN,35.675003
PASSION FRUIT PURPLE,29.0
PASSION FRUIT UNSPECIFIED,34.274967
PEACHES DONUT,49.5
PEACHES FREESTONE,2.5500004/kg
PEACHES ORGANIC-UNSPECIFIED,36.25
PEACHES ORGANIC-WHITE,0.6979167/lbs
PEACHES REDHAVEN,1.5604999/lbs
PEACHES SATURN,14.25/Lt
PEACHES UNSPECIFIED,1.1625/lbs
PEACHES WHITE,1.1439973/lbs
PEARS ASIAN,2.8315167/kg
PEARS ASIAN-BROWN,2.225/kg
PEARS ASIAN-YA,1.7847222/kg
PEARS ASIAN-YELLOW,2.5400052/kg
PEARS BARTLETT,0.61875/lbs
PEARS BOSC,40.5
PEARS CACTUS,22.75
PEARS COMICE,2.95/kg
PEARS D'ANJOU,0.79375/lbs
PEARS FORRELLE,1.7946428/lbs
PEARS ORGANIC-BARTLETT,13.0/lbs
PEARS ORGANIC-D'ANJOU,65.25
PEARS ORGANIC-UNSPECIFIED,1.5918742/lbs
PEARS PACKHAM,0.59
PEARS RED BARTLETT,42.75
PEARS RED CRIMSON,1.9475/kg
PEARS RED D'ANJOU,0.90681726/lbs
PEARS SHINKO,2.0375/kg
PEAS ENGLISH GREEN,1.64/lbs
PEAS SNAP PEAS,0.12362365/Gr
PEAS SNOW,0.13237366/Gr
PEAS SUGAR GREEN,0.1325/Gr
PEPPERS FIELD-ANAHEIM,1.68/lbs
PEPPERS FIELD-BANANA,1.74/lbs
PEPPERS FIELD-CUBANELLE,3.1/kg
PEPPERS FIELD-GREEN,1.11/lbs
PEPPERS FIELD-GREEN ORGANIC,1.6260018/lbs
PEPPERS FIELD-HUNGARIAN,1.11/lbs
PEPPERS FIELD-JABANERO,0.5070008/Gr
PEPPERS FIELD-JALAPENO,1.375/lbs
PEPPERS FIELD-LONG GREEN,0.09471366/Gr
PEPPERS FIELD-LONG GREEN HOT,1.6100056/lbs
PEPPERS FIELD-LONG RED,0.47/lbs
PEPPERS FIELD-LONG RED HOT,2.3125/lbs
PEPPERS FIELD-ORANGE,45.27027/Bu
PEPPERS FIELD-POBLANO,0.07599119/Gr
PEPPERS FIELD-PURPLE,1.37/lbs
PEPPERS FIELD-RED,0.76/lbs
PEPPERS FIELD-RED HOT,0.3865001/Gr
PEPPERS FIELD-SHISHITO,5.0/lbs
PEPPERS FIELD-THAI CHILI,0.315/Gr
PEPPERS FIELD-YELLOW,0.65/lbs
PEPPERS G.H. BABY BELL,3.8181818/lbs
PEPPERS G.H.-GREEN,4.85/kg
PEPPERS G.H.-GREEN ORGANIC,1.04/lbs
PEPPERS G.H.-JALAPENO,0.10883257/Gr
PEPPERS G.H.-ORANGE,4.95/kg
PEPPERS G.H.-ORANGE ORGANIC,5.336358/lbs
PEPPERS G.H.-PURPLE,0.71/lbs
PEPPERS G.H.-RED,4.75/kg
PEPPERS G.H.-RED ORGANIC,5.3363514/lbs
PEPPERS G.H.-SHISHITO,3.55/lbs
PEPPERS G.H.-YELLOW,4.85/kg
PEPPERS G.H.-YELLOW ORGANIC,5.336351/lbs
PERSIMMONS FUYU,33.5
PERSIMMONS HACHIYA,22.925001
PERSIMMONS TRIUMPH (SHARON-KAKI),3.4624999/kg
PERSIMMONS VANILLA,2.857143/kg
PHYSALIS UNSPECIFIED,0.21/Gr
PINEAPPLES GOLDEN,22.875
PINEAPPLES ORGANIC-UNSPECIFIED,27.5
PINEAPPLES UNSPECIFIED,21.875
PITHAYA UNSPECIFIED,25.575071
PLUMS BLACK,1.4922544/lbs
PLUMS BLUES,1.25/lbs
PLUMS GOLDEN,21.333334/Lt
PLUMS ORGANIC-BLACK,43.600033
PLUMS ORGANIC-PRUNE UNSPECIFIED,20.900003/lbs
PLUMS ORGANIC-RED,76.52497
PLUMS ORGANIC-UNSPECIFIED,2.3625/lbs
PLUMS PRUNE-ITALIAN,1.2387497/lbs
PLUMS PRUNE-PRESIDENT,1.5178572/lbs
PLUMS PRUNE-UNSPECIFIED,1.2875/lbs
PLUMS RED,1.9107143/lbs
PLUOTS UNSPECIFIED,4.9166665/kg
POMEGRANATES UNSPECIFIED,26.5
POTATOES BAKERS,0.4294999/lbs
POTATOES CREAMER-RED,1.7454002/lbs
POTATOES CREAMER-YELLOW,1.7190006/lbs
POTATOES FINGERLING-YELLOW,0.06904409/Gr
POTATOES ORGANIC-RED,11.125/lbs
POTATOES ORGANIC-RUSSET,10.85/lbs
POTATOES ORGANIC-WHITE,0.805/lbs
POTATOES ORGANIC-YELLOW,0.815/lbs
POTATOES ORGANIC-YUKON GOLD,7.3350067/lbs
POTATOES PARISIENNE,2.9194999/lbs
POTATOES RED,0.57/lbs
POTATOES ROUND WHITE,0.33/lbs
POTATOES RUSSET,1.825/lbs
POTATOES UNSPECIFIED,0.39/lbs
POTATOES WHITE,0.505/lbs
POTATOES YELLOW,0.8989945/lbs
POTATOES YUKON GOLD,0.8269947/lbs
PUMMELO GOLDEN,49.0
PUMMELO HONEY,1.71875/kg
PUMMELO RED,35.0
PUMMELO UNSPECIFIED,27.375
PUMMELO WHITE,2.28125/kg
PUMPKINS MINI,2.0/lbs
PUMPKINS UNSPECIFIED,1.1363636/kg
PUMPKINS WHITE,169.5
RADISHES FIELD-RED,20.875
RADISHES ORGANIC-UNSPECIFIED,33.59982
RAMBUTAN UNSPECIFIED,12.375/kg
RAPPINI UNSPECIFIED,40.625
RASPBERRIES FIELD-RED,0.1914724/Gr
RASPBERRIES FIELD-UNSPECIFIED,46.5/Pt
RASPBERRIES ORGANIC-UNSPECIFIED,0.29161605/Gr
RHUBARB FIELD,4.6/lbs
RHUBARB UNSPECIFIED,1.6875/lbs
RUTABAGAS UNSPECIFIED,0.45900226/lbs
RUTABAGAS WASHED,0.6269984/lbs
RUTABAGAS WAXED,0.6965/lbs
SPINACH BABY,5.0/lbs
SPINACH ORGANIC-GREEN,41.0
SPINACH UNSPECIFIED,23.5
SQUASH ACORN,0.7/lbs
SQUASH ACORN-PEPPER,1.5639998/lbs
SQUASH BUTTERCUP,1.53125/kg
SQUASH BUTTERNUT,0.7178571/lbs
SQUASH KABOCHA,1.149281/lbs
SQUASH ORGANIC-ACORN,0.9799966/lbs
SQUASH ORGANIC-BUTTERNUT,1.3028513/lbs
SQUASH ORGANIC-SPAGHETTI,1.2171426/lbs
SQUASH SPAGHETTI,0.6857143/lbs
STRAWBERRIES FIELD,3.175/lbs
STRAWBERRIES FIELD-DRISCOLL,33.75/lbs
STRAWBERRIES ORGANIC-UNSPECIFIED,32.75/lbs
STRAWBERRIES UNSPECIFIED,4.0/lbs
SUGAR CANE UNSPECIFIED,0.98125/lbs
SWEET POTATOES ORGANIC-UNSPECIFIED,1.7137585/lbs
SWEET POTATOES UNSPECIFIED,0.915625/lbs
SWISS CHARD GREEN,31.0
SWISS CHARD ORGANIC-GREEN,36.0
SWISS CHARD ORGANIC-RED,33.75
SWISS CHARD ORGANIC-UNSPECIFIED,36.474865
SWISS CHARD RED,31.0
TAMARILLO UNSPECIFIED,31.75
TAMARIND UNSPECIFIED,63.45013/lbs
TANGELOS UNSPECIFIED,34.92503
TANGERINES HONEY,63.75
TANGERINES SUNBURST,61.5
TANGERINES UNSPECIFIED,14.866661/lbs
TOMATOES FIELD-CHERRY,44.190006/Pt
TOMATOES FIELD-CHERRY RED,0.04735683/Gr
TOMATOES FIELD-CHERRY YELLOW,0.21011719/Gr
TOMATOES FIELD-GRAPE,24.25/Pt
TOMATOES FIELD-RED,0.65/lbs
TOMATOES FIELD-RED ON VINE,1.2045455/lbs
TOMATOES FIELD-ROMA,0.8520026/lbs
TOMATOES FIELD-ROMA ON VINE,1.5409092/lbs
TOMATOES FIELD-TOMATILLOS,4.25/kg
TOMATOES G.H.-CAMPARI,21.75/lbs
TOMATOES G.H.-CHERRY,19.75/Pt
TOMATOES G.H.-CHERRY ON VINE,1.4772727/lbs
TOMATOES G.H.-GRAPE,23.25/Pt
TOMATOES G.H.-GRAPE ORANGE,2.075/Oz
